0,-361
10,-324
20,-299
30,402
40,-301
50,-305
60,-317
70,-307
80,517
90,-307
100,-307
110,382
120,-307
130,400
140,1310
150,1518
160,1516
170,1534
180,-319
190,1503
200,1577
210,1586
220,1596
230,1618
240,1617
250,1620
260,1652
270,1620
280,1636
290,1584
300,1641
310,1626
320,1649
330,1622
340,1674
350,1663
360,1666
370,465
380,1657
390,1652
400,-155
410,1679
420,1660
430,1647
440,1656
450,1639
460,1627
470,1669
480,1648
490,1533
500,1653
510,1673
520,1671
530,1678
540,1666
550,1660
560,1668
570,1662
580,1662
590,1663
600,489
610,1652
620,1653
630,1651
640,1655
650,1635
